open_time,open,high,low,close,volume,close_time,return_1h,target,lag_return_1h,lag_return_2h,lag_return_6h,rolling_mean_6h,rolling_mean_24h,rolling_std_6h,rolling_std_24h,ema_12,ema_26,macd,rsi_14,dist_from_ma_24h,volume_change_1h,volume_zscore_24h,hour_of_day,day_of_week
2026-03-18 23:00:00+00:00,71119.5390625,71349.421875,71091.03125,71250.3515625,186896384,2026-03-18 23:59:59.999000+00:00,0.0015593279306502783,0,-0.002155057162820051,0.0007346350890187203,0.004019939900786751,71171.27994791667,72712.75423177083,111.67268012214289,1360.2365578288877,71650.76179216527,72374.05823394077,-723.2964417754993,19.103103236208298,-1.075109076324938,1.1413017973626167,-0.4045939437374976,23,2
2026-03-19 00:00:00+00:00,71216.484375,71298.9609375,71010.4921875,71010.4921875,0,2026-03-19 00:59:59.999000+00:00,-0.003366430757743011,1,0.0015593279306502783,-0.002155057162820051,-0.008710759393075529,71174.21614583333,72594.19791666667,106.1382007928668,1380.1277251714641,71552.25877606292,72273.05334161183,-720.794565548902,19.017692261869314,-1.1475066403509249,-1.0,-0.7114213518256443,0,3
2026-03-19 04:00:00+00:00,71157.5390625,71199.2578125,70698.765625,70841.8359375,639582208,2026-03-19 04:59:59.999000+00:00,-0.005353444720377021,0,0.0024261929881759237,-0.0012592848509580534,-0.002155057162820051,71086.14583333333,72056.6474609375,151.8728098046929,1228.6881617547087,71306.4813903693,71950.79394338623,-644.3125530169345,41.76165943969443,-0.9887061349257315,2.6745893537911236,0.2879159176188704,4,3
2026-03-19 05:00:00+00:00,70854.7421875,70894.46875,70688.65625,70835.7734375,0,2026-03-19 05:59:59.999000+00:00,-8.557796279229368e-05,0,-0.005353444720377021,0.0024261929881759237,0.0015593279306502783,71017.04947916667,71926.8623046875,156.4632416507194,1183.6139820649696,71234.06478223557,71868.19983183911,-634.1350496035448,37.31993807706549,-0.9218283018961575,-1.0,-0.7806137352802096,5,3
2026-03-19 08:00:00+00:00,70202.65625,70256.6875,69960.1171875,69960.1171875,1039183872,2026-03-19 08:59:59.999000+00:00,-0.003707519810098092,1,-0.004509832717867868,-0.004195553998746493,-0.0012592848509580534,70603.31510416667,71461.77506510417,460.3401179676626,1006.9631496314234,70829.51641734435,71529.4070087759,-699.8905914315546,29.004119984625504,-1.491273914198171,-0.6604504628694021,0.5131908844908378,8,3
2026-03-19 09:00:00+00:00,69992.7421875,70530.7578125,69992.7421875,70494.7734375,1144094720,2026-03-19 09:59:59.999000+00:00,0.007642300663491808,0,-0.003707519810098092,-0.004509832717867868,0.0024261929881759237,70481.92317708333,71309.27376302083,346.0537841770228,845.6009984634937,70778.01749736829,71452.76748497768,-674.7499876093934,39.28148397683187,-0.9632206288791322,0.10095503868635869,0.590123154007934,9,3
2026-03-19 10:00:00+00:00,70499.0703125,70499.0703125,70119.53125,70119.53125,370712576,2026-03-19 10:59:59.999000+00:00,-0.00532297884229227,0,0.007642300663491808,-0.003707519810098092,-0.005353444720377021,70361.5390625,71150.251953125,320.50048709993814,670.9675970727626,70676.7119208501,71354.0092453497,-677.2973244996101,32.04062580559581,-1.5361706103569472,-0.6759773736216526,-0.42562019748493674,10,3
2026-03-19 11:00:00+00:00,70134.71875,70229.7265625,69915.0,69915.0,0,2026-03-19 11:59:59.999000+00:00,-0.0029168941428141526,0,-0.00532297884229227,0.007642300663491808,-8.557796279229368e-05,70208.07682291667,71024.57649739583,263.3620129007151,601.7912275186784,70559.52547148854,71247.4159679164,-687.8904964278627,28.952342314392766,-1.843789750759352,-1.0,-0.8337022955390574,11,3
2026-03-19 14:00:00+00:00,70009.0546875,70009.0546875,69132.6796875,69560.4921875,0,2026-03-19 14:59:59.999000+00:00,-0.0048212348486254,0,0.008499261171505124,-0.008676048594722152,-0.003707519810098092,69882.61588541667,70733.61946614583,416.0785915203052,648.5154182922713,70181.83500059228,70906.73137186626,-724.8963712739787,33.146944838933464,-1.808942772301408,-1.0,-0.7361654755993332,14,3
2026-03-19 17:00:00+00:00,69467.7109375,69879.515625,69145.453125,69858.3515625,0,2026-03-19 17:59:59.999000+00:00,0.005933995048554186,0,-8.729010021146788e-05,-0.0015550763313810778,-0.0029168941428141526,69587.22005208333,70495.90657552083,239.28714855402035,680.0097444639969,69955.95651520861,70636.53928268228,-680.5827674736647,34.61850699378897,-0.9375674660711922,-1.0,-0.6668612265503088,17,3
2026-03-19 20:00:00+00:00,70277.4296875,70633.4296875,70214.5390625,70490.953125,0,2026-03-19 20:59:59.999000+00:00,0.003000940656387341,0,0.006261163470796971,-0.0002233313863130304,-0.0048212348486254,69895.11328125,70382.11100260417,425.4007929438681,646.6495437813918,70067.983242714,70550.8934984205,-482.9102557064907,49.460727593125334,0.16831701721980022,-1.0,-0.6011545155685232,20,3
2026-03-20 00:00:00+00:00,69921.890625,70280.90625,69849.15625,70232.03125,22978560,2026-03-20 00:59:59.999000+00:00,0.004584365329574958,1,-0.003248109761850193,-0.004912791957492169,-0.0002233313863130304,70256.59114583333,70218.57845052083,219.70454418342493,541.2269164809884,70119.64271976036,70453.44896177658,-333.80624201621686,51.4697296922141,0.024856116851394754,2.6835193696651345,-0.5102199952622767,0,4
2026-03-20 01:00:00+00:00,70209.6875,70581.65625,70209.6875,70411.375,265351168,2026-03-20 01:59:59.999000+00:00,0.0025535891075341155,1,0.004584365329574958,-0.003248109761850193,0.006261163470796971,70278.47916666667,70188.20540364583,228.85969117263812,506.59643261992005,70164.524609028,70450.33237201536,-285.80776298735873,56.52773382758465,0.44052737442311823,10.54777183600713,-0.18895805304971142,1,4
2026-03-20 02:00:00+00:00,70411.609375,70501.953125,70096.6171875,70429.59375,0,2026-03-20 02:59:59.999000+00:00,0.00025874725497132545,1,0.0025535891075341155,0.004584365329574958,0.003000940656387341,70268.25260416667,70162.32421875,218.60774462994223,475.52905640613443,70205.30447686985,70448.796177792,-243.49170092215354,67.4438618114457,0.5620466881033942,-1.0,-0.5609549093555879,2,4
2026-03-20 04:00:00+00:00,70732.3515625,70939.7734375,70569.1015625,70785.0546875,0,2026-03-20 04:59:59.999000+00:00,0.0005244188822599583,0,0.004520250054686814,0.00025874725497132545,-0.004912791957492169,70419.58984375,70140.15950520833,327.064617181493,434.03419574170726,70365.1374693861,70494.22252468449,-129.08505529839022,73.16546167170144,1.4858165292474954,-1.0,-0.5190173383009036,4,4
2026-03-20 07:00:00+00:00,70495.2109375,70890.09375,70223.3046875,70857.6328125,0,2026-03-20 07:59:59.999000+00:00,0.005350435869479808,1,-0.001497834929581443,-0.00280845830913945,0.0025535891075341155,70647.83723958333,70153.89322916667,174.5162122416838,442.76326279136595,70480.2841103791,70526.04760666286,-45.763496283761924,67.85467012105241,1.589426319827571,-1.0,-0.590170117108898,7,4
2026-03-20 09:00:00+00:00,70995.9140625,71002.9609375,70482.7890625,70564.0,0,2026-03-20 09:59:59.999000+00:00,-0.006525969301293122,1,0.0023976333706992037,0.005350435869479808,0.004520250054686814,70716.83333333333,70201.2529296875,208.44838993403354,476.9806441347838,70564.40173361462,70563.25367083578,1.14806277884054,54.76608846623901,0.7605068984937594,-1.0,-0.471332481307212,9,4
2026-03-20 11:00:00+00:00,70606.625,70787.5,70334.421875,70472.921875,0,2026-03-20 11:59:59.999000+00:00,-0.0018875601058822022,0,0.0005979722308826485,-0.006525969301293122,-0.00280845830913945,70668.13411458333,70244.77734375,224.96818630387284,481.6836634643525,70555.76849344597,70559.5076696123,-3.7391761663311627,49.783690215671626,0.47363975271476916,-1.0,-0.4366776931954762,11,4
2026-03-20 15:00:00+00:00,69738.203125,69957.40625,69512.046875,69812.21875,0,2026-03-20 15:59:59.999000+00:00,0.0002806304435114537,1,-0.0005490937100912641,-0.00697875012415039,-0.006525969301293122,70139.44661458333,70308.89615885417,370.08123044034863,401.78099769138606,70240.38421864754,70391.30705190897,-150.92283326142933,38.3162705667276,-1.2361893959845178,-1.0,-0.4145516953753635,15,4
2026-03-20 17:00:00+00:00,69819.046875,69953.96875,69435.75,69953.96875,243093504,2026-03-20 17:59:59.999000+00:00,0.0013153147954687583,0,0.0007141926713223334,0.0002806304435114537,-0.0018875601058822022,69928.93489583333,70330.2060546875,200.59147747697864,365.9668019877181,70147.07335329203,70322.61334182868,-175.53998853664962,33.24386174331106,-1.0280640283326208,0.570910534674431,0.8666544119103236,17,4
